date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibilityKm,visibilityMiles,pressureMB,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,chanceofrain,chanceofremdry,chanceofwindy,chanceofovercast,chanceofsunshine,chanceoffrost,chanceofhightemp,chanceoffog,chanceofsnow,chanceofthunder
2024-11-04,0,2,35,4,6,284,WNW,248,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0007_fog.png,Fog,0.0,0.0,97,10,6,1025,30,100,2,35,1,34,-2,29,6,10,-2,29,0,88,0,86,6,0,0,2,0,0
2024-11-04,100,2,36,4,6,272,W,248,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0007_fog.png,Fog,0.0,0.0,98,10,6,1024,30,100,2,36,1,35,-1,30,6,9,-1,30,0,92,0,83,7,10,0,6,0,0
2024-11-04,200,2,36,4,6,275,W,143,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0.0,0.0,96,10,6,1024,30,92,2,36,2,36,-1,31,6,9,-1,31,0,80,0,86,5,10,0,3,0,0
2024-11-04,300,2,36,4,6,270,W,143,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0.0,0.0,95,5,3,1023,30,88,2,36,2,35,-1,31,6,10,-1,31,0,81,0,85,17,10,0,1,0,0
2024-11-04,400,2,36,4,7,285,WNW,122,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast ,0.0,0.0,93,2,1,1022,30,93,2,36,1,35,-0,31,6,10,-0,31,0,80,0,92,12,10,0,0,0,0
2024-11-04,500,3,37,3,4,301,WNW,122,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast ,0.0,0.0,90,2,1,1021,30,93,3,37,1,34,-0,32,4,6,-0,32,0,82,0,83,8,10,0,0,0,0
2024-11-04,600,3,37,2,4,288,WNW,122,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast ,0.0,0.0,91,2,1,1020,30,96,3,37,1,34,1,33,3,5,1,33,0,81,0,84,14,10,0,0,0,0
2024-11-04,700,3,37,0,1,277,W,122,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast ,0.0,0.0,92,2,1,1019,30,95,3,37,1,34,1,33,1,1,1,33,0,82,0,87,9,10,0,0,0,0
2024-11-04,800,2,36,0,1,171,S,122,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast ,0.0,0.0,88,2,1,1017,30,97,2,36,1,34,-0,31,1,1,-0,31,0,87,0,87,14,10,0,0,0,0
2024-11-04,900,2,35,2,3,136,SE,143,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0.0,0.0,96,2,1,1015,30,100,2,35,1,34,-2,29,2,4,-2,29,0,85,0,83,12,15,0,0,0,0
