name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"47.4244,-121.4184",2024-08-21T00:00:00,61.1,61.1,56.7,85.39,0,0,,0,0,6.9,4.9,153,1019,56.4,9.9,1,0,0,10,Partially cloudy,partly-cloudy-night,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T01:00:00,60,60,56.4,87.81,0,0,,0,0,6.9,4,97,1018.8,0,9.9,0,0,0,10,Clear,clear-night,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T02:00:00,60.4,60.4,56.4,86.58,1,0,,0,0,6.9,3.3,5,1018.9,91.7,9.9,0,0,0,10,Overcast,cloudy,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T03:00:00,60.4,60.4,56.7,87.65,0,0,,0,0,6.9,3.3,356,1019,100,9.9,0,0,0,10,Overcast,cloudy,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T04:00:00,60,60,56.1,86.74,0,0,,0,0,6.9,2.9,103,1018.7,100,9.9,0,0,0,10,Overcast,cloudy,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T05:00:00,60.4,60.4,56.4,86.58,0,0,,0,0,8.1,4.1,138,1018.9,100,9.9,0,0,0,10,Overcast,cloudy,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T06:00:00,59,59,56.1,90.18,0,0,,0,0,8.1,4.5,150,1018.8,92.5,9.9,0,0,0,10,Overcast,cloudy,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T07:00:00,59,59,56,89.98,0,0,,0,0,8.1,6.6,143,1019,92.5,8.8,0,0,0,10,Overcast,cloudy,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T08:00:00,61.1,61.1,56.6,85.22,0,0,,0,0,8.1,6.6,157,1018.9,92.5,9.9,2,0,0,10,Overcast,cloudy,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T09:00:00,63.2,63.2,56,77.55,0,0,,0,0,8.1,7.2,177,1018.5,77.4,9.9,2,0,0,10,Partially cloudy,partly-cloudy-day,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T10:00:00,64.7,64.7,56,73.37,1,0,,0,0,8.1,8.3,189,1018.5,96.2,9.9,1,0,0,10,Overcast,cloudy,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T11:00:00,65,65,56,72.67,0,0,,0,0,10.3,9.2,187,1018.4,73.7,9.9,2,0,0,10,Partially cloudy,partly-cloudy-day,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T12:00:00,65.9,65.9,55.1,68.16,0,0,,0,0,10.3,7.3,198,1018.3,96.2,9.9,2,0,0,10,Overcast,cloudy,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T13:00:00,67.8,67.8,55.5,64.77,0,0,,0,0,10.3,6.4,195,1017.7,62.4,9.9,3,0,0,10,Partially cloudy,partly-cloudy-day,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T14:00:00,67.7,67.7,55.5,64.96,0,0,,0,0,13.9,5.2,205,1017.5,100,9.9,5,0,0,10,Overcast,cloudy,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T15:00:00,69.8,69.8,55.1,59.59,0,0,,0,0,13.9,5.6,211,1017.2,100,9.9,6,0,0,10,Overcast,cloudy,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T16:00:00,69,69,54.7,60.2,1,0,,0,0,13.9,5.7,239,1016.7,100,9.9,4,0,0,10,Overcast,cloudy,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T17:00:00,68.8,68.8,54.7,60.78,0,0,,0,0,6.9,4.3,228,1016.3,100,9.9,3,0,0,10,Overcast,cloudy,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T18:00:00,68.8,68.8,53.8,58.82,0,0,,0,0,6.9,5.6,209,1015.6,50.4,9.9,4,0,0,10,Partially cloudy,partly-cloudy-day,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T19:00:00,66.6,66.6,55.6,67.7,0,0,,0,0,6.9,6.1,265,1015.2,58.7,9.9,2,0,0,10,Partially cloudy,partly-cloudy-day,"KSEA,MPSW1,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T20:00:00,65,65,56.4,73.59,1,0,,0,0,3.4,2.3,308,1014.9,58.6,9.9,20,0.1,0,10,Partially cloudy,partly-cloudy-day,"KSEA,E7771,KBFI,KRNT"
"47.4244,-121.4184",2024-08-21T21:00:00,54.9,54.9,49.9,83.08,0,10,,0,0,3.4,1.1,300,1013,90,10.1,17,0.1,0,10,Partially cloudy,partly-cloudy-night,
"47.4244,-121.4184",2024-08-21T22:00:00,54.1,54.1,49.9,85.85,0,10,,0,0,3.4,1.1,300,1014,90,10.1,13,0,0,10,Partially cloudy,partly-cloudy-night,
"47.4244,-121.4184",2024-08-21T23:00:00,53,53,49,86.37,0,9,,0,0,3.4,1.1,350,1013,86,10.1,11,0,0,10,Partially cloudy,partly-cloudy-night,
