name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"47.4219,-121.4217",2014-11-01,52.6,47.3,50,52.6,46.2,49.9,46.2,87.2,0,0,0,,0,0,,6.8,357.6,1013.6,93.9,8.6,57.6,5.1,3,,2014-11-01T07:49:28,2014-11-01T17:48:21,0.32,Overcast,Cloudy skies throughout the day.,cloudy,"KSEA,KBFI,72793494248,KRNT"
"47.4219,-121.4217",2014-11-02,56.6,45.9,50.9,56.6,43.2,50.5,47.3,87.9,0.118,100,25,rain,0,0,,6.8,142.6,1019.8,91.3,9.3,73.4,6.6,4,,2014-11-02T06:50:58,2014-11-02T16:46:49,0.35,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KSEA,KBFI,72793494248,KRNT"
"47.4219,-121.4217",2014-11-03,58.1,53,55.2,58.1,53,55.2,51.9,88.8,0.303,100,58.33,rain,0,0,19.5,10,148.9,1019,99.9,8.8,23.2,2,1,,2014-11-03T06:52:29,2014-11-03T16:45:19,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KSEA,KBFI,72793494248,KRNT"
"47.4219,-121.4217",2014-11-04,58.9,52.6,55.6,58.9,52.6,55.6,52,87.9,0.159,100,41.67,rain,0,0,25.3,11.8,148.9,1020.2,95.6,8.6,41.3,3.5,2,,2014-11-04T06:53:59,2014-11-04T16:43:51,0.43,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KSEA,KBFI,72793494248,KRNT"
"47.4219,-121.4217",2014-11-05,59.4,52.2,55.7,59.4,52.2,55.7,51.6,86.5,0.205,100,33.33,rain,0,0,,5.8,84.5,1021.6,98.8,9.4,34.2,2.8,2,,2014-11-05T06:55:30,2014-11-05T16:42:24,0.46,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KSEA,KBFI,72793494248,KRNT"
"47.4219,-121.4217",2014-11-06,62.6,53.3,56.6,62.6,53.3,56.6,51.5,83.7,0.204,100,41.67,rain,0,0,35.4,21.9,175.5,1015.4,72.5,9.1,30.3,2.8,1,,2014-11-06T06:57:01,2014-11-06T16:40:59,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KSEA,KBFI,72793494248,KRNT"
"47.4219,-121.4217",2014-11-07,57.5,44.2,50.4,57.5,42.7,49.9,43.9,79.1,0,0,0,,0,0,,7.5,18,1030.1,32.9,9.9,114.8,10,5,,2014-11-07T06:58:31,2014-11-07T16:39:35,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KSEA,KBFI,72793494248,KRNT"
"47.4219,-121.4217",2014-11-08,53.8,40.3,46.7,53.8,39.4,46.5,42.4,85.6,0,0,0,,0,0,,4.5,17.8,1024.7,37.5,7.8,93.5,8.1,4,,2014-11-08T07:00:02,2014-11-08T16:38:14,0.56,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KSEA,KBFI,72793494248,KRNT"
"47.4219,-121.4217",2014-11-09,54.8,46.9,49.6,54.8,42.6,48.2,46.6,89.6,0.332,100,54.17,rain,0,0,16.1,9,122.2,1013.7,95.9,8.6,37.1,3.1,2,,2014-11-09T07:01:32,2014-11-09T16:36:54,0.59,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KSEA,KBFI,72793494248,KRNT"
"47.4219,-121.4217",2014-11-10,52.2,41.7,47.4,52.2,39.2,46.5,41.3,80,0,0,0,,0,0,,9.5,5.8,1021.7,39.3,9.3,112.9,9.7,5,,2014-11-10T07:03:02,2014-11-10T16:35:36,0.63,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KSEA,KBFI,72793494248,KRNT"
"47.4219,-121.4217",2014-11-11,46.2,35.4,41.8,40.7,28.6,35.8,18.5,46.3,0,0,0,,0,0,39.1,16.3,81.4,1025.5,15.9,9.9,114.7,9.9,5,,2014-11-11T07:04:32,2014-11-11T16:34:20,0.66,Clear,Clear conditions throughout the day.,clear-day,"KSEA,KBFI,72793494248,KRNT"
"47.4219,-121.4217",2014-11-12,44.6,31.9,37.7,39.3,25.2,31.1,2.9,23.2,0,0,0,rain,0.1,0.1,36.9,15.2,100.7,1025.1,1.4,9.9,115,10,5,,2014-11-12T07:06:02,2014-11-12T16:33:06,0.69,Clear,Clear conditions throughout the day.,clear-day,"KSEA,KBFI,72793494248,KRNT"
"47.4219,-121.4217",2014-11-13,46.2,32.1,38.9,42.3,29.2,35.1,7.1,27.6,0,0,0,rain,0.1,0.2,25.4,12.1,87.5,1016.7,12,9.9,94.6,8.2,4,,2014-11-13T07:07:32,2014-11-13T16:31:54,0.72,Clear,Clear conditions throughout the day.,clear-day,"KSEA,KBFI,72793494248,KRNT"
"47.4219,-121.4217",2014-11-14,46.2,27.4,35.7,42.4,25.1,32.6,18.7,51.5,0,0,0,,0,0.3,20.8,11.4,351.4,1020.8,2.1,9.9,108.5,9.4,5,,2014-11-14T07:09:01,2014-11-14T16:30:44,0.75,Clear,Clear conditions throughout the day.,clear-day,"KSEA,KBFI,72793494248,KRNT"
